Area,Latitude,Longitude,Total Strikes,Casualties,Injured
Wana,32.29,69.59,5,8,1
Datta Khel,33.15,70.43,26,17,10
Miram Shah,32.95,70.16,13,5,6
Mir Ali,32.97,70.27,9,2,4
Shawal,32.61,69.5,8,3,1
Azam Warsak,32.29,69.42,7,3,7
Mohammad Khel,32.99,70.53,5,4,9
Miran Shah,32.95,70.16,7,1,0
Machi Khel,33.02,70.24,7,1,0
